X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.437367019,0.436984645,0.391645725,0.391721319,0.435264664,0.479593325,0.348002852,0.348107503,0.479859266,0.435925216,0.347911152,0.480822826,0.524622264,0.391812123,0.348002852,0.391452841,0.391645725,0.392611735,0.480128792,0.436132313,0.479444836,0.347892107,0.392051182,0.435264664,0.304403422,0.480822826,0.523052896,0.391381128,0.392051182,0.391645725,0.435467795,0.435596798,0.43526466,0.436656121,0.435467795,0.435264664,0.391812123,0.392051182,0.392391648,0.435264664,0.47913368,0.392206562,0.436132313,0.435357975,0.435467795,0.436656121,0.348266627,0.304478065,0.435596798,0.436656121,0.479444836,0.435925216,0.436132313,0.436374121,0.479444836,0.392206562,0.437811734,0.392206562,0.435596798,0.347878298,0.526079727,0.435748083,0.391452841,0.47913368,0.391920988,0.435925216,0.391812123,0.526079727,0.480493753,0.436374121,0.348002852,0.347966539,0.392873029,0.435748082,0.391920988,0.435596797,0.435748083,0.391645725,0.391645725,0.436656121,0.435467795,0.436132313,0.524622264,0.391721319,0.435357977,0.391920988,0.480493753,0.392391648,0.391645725,0.48120766,0.436132313,0.392051182,0.479593325,0.391812123,0.391531005,0.347878298,0.481654023,0.435357977,0.435925216,0.348107503,12,12
p(Int),0.347931836,0.356527627,0.444057017,0.434721919,0.432853418,0.385263954,0.468511914,0.447554655,0.377491215,0.390640056,0.499877533,0.354180743,0.3522533,0.425373914,0.468511914,0.481298824,0.444057017,0.378365528,0.369746265,0.382147018,0.392918881,0.510319573,0.406631295,0.432853418,0.511810991,0.354180743,0.394921406,0.509159859,0.406631295,0.444057017,0.41601106,0.407570105,0.43285341,0.365093444,0.41601106,0.432853418,0.425373914,0.406631295,0.387811306,0.432853418,0.40832864,0.397232252,0.382147018,0.424438309,0.41601106,0.365093444,0.426543056,0.47598627,0.407570105,0.365093444,0.392918881,0.390640056,0.382147018,0.37363232,0.392918881,0.397232252,0.339302741,0.397232252,0.407570105,0.520757017,0.330635753,0.399113742,0.481298824,0.40832864,0.416011064,0.390640056,0.425373914,0.330635753,0.361971274,0.37363232,0.468511914,0.478974798,0.368891662,0.399113717,0.416011064,0.407570088,0.399113742,0.444057017,0.444057017,0.365093444,0.41601106,0.382147018,0.3522533,0.434721919,0.424438314,0.416011064,0.361971274,0.387811306,0.444057017,0.346362598,0.382147018,0.406631295,0.385263954,0.425373914,0.462694919,0.520757017,0.338515098,0.424438314,0.390640056,0.447554655,12,12
psi(Int),0.391352095,0.391362208,0.391482876,0.523049986,0.434867636,0.434920245,0.478662001,0.391374462,0.478662001,0.347843448,0.391362208,0.43497149,0.434899928,0.478562597,0.5221113,0.434920245,0.434899928,0.391325841,0.478870368,0.478456052,0.478522083,0.478562597,0.435129775,0.4789618,0.478406282,0.391453092,0.391330692,0.391352095,0.478562597,0.478662001,0.43488253,0.391336629,0.391374462,0.478486775,0.434867636,0.347837154,0.43497149,0.434899928,0.478562597,0.347831396,0.435129775,0.43485487,0.43488253,0.478720817,0.478486775,0.478870368,0.478662001,0.434843896,0.478720817,0.435176392,0.434834432,0.43485487,0.391318511,0.391336628,0.434943933,0.478429374,0.522222417,0.478720817,0.39134369,0.478720817,0.478720817,0.434943933,0.391427988,0.3478482,0.522363716,0.478609015,0.522542391,0.434867636,0.43485487,0.435003473,0.478793147,0.435389342,0.391427988,0.478662001,0.435003473,0.435129775,0.391427988,0.4789618,0.434943933,0.478793147,0.391330692,0.39134369,0.39134369,0.478522083,0.522163485,0.478662001,0.478562597,0.435003473,0.347839604,0.391325838,0.391427988,0.434920245,0.434834432,0.434899928,0.478386394,0.391352095,0.391336628,0.43485487,0.478522083,0.434920245,12,16
p(Int),0.430502873,0.423548148,0.381770625,0.311699592,0.412417933,0.393623341,0.357654062,0.416591646,0.357654062,0.460913879,0.423548148,0.3810834,0.399890035,0.369085915,0.364325012,0.393623341,0.399890035,0.458308139,0.340473496,0.386207599,0.374796269,0.369085915,0.368534029,0.334735171,0.39760837,0.388741242,0.451358454,0.430502873,0.369085915,0.357654062,0.40615484,0.444407807,0.416591646,0.380503391,0.412417933,0.476547324,0.3810834,0.399890035,0.369085915,0.499992385,0.368534029,0.418679471,0.40615484,0.351931505,0.380503391,0.340473496,0.357654062,0.424939591,0.351931505,0.349650346,0.431198423,0.418679471,0.472205096,0.444407808,0.387354545,0.391909177,0.353840259,0.351931505,0.437455985,0.351931505,0.351931505,0.387354545,0.395708193,0.453095924,0.34333957,0.363371976,0.332819426,0.412417933,0.418679471,0.374809609,0.346201709,0.337029367,0.395708193,0.357654062,0.374809609,0.368534029,0.395708193,0.334735171,0.387354545,0.346201709,0.451358453,0.437455985,0.437455985,0.374796269,0.359084441,0.357654062,0.369085915,0.374809609,0.468731268,0.458308137,0.395708193,0.393623341,0.431198423,0.399890035,0.403305379,0.430502873,0.444407808,0.418679471,0.374796269,0.393623341,12,16
psi(Int),0.478300516,0.478314769,0.434962212,0.478333516,0.478358145,0.434818624,0.521864716,0.478307155,0.434813261,0.43480468,0.478323502,0.478314769,0.434801382,0.434813261,0.478358145,0.478294728,0.478323502,0.434796055,0.521899344,0.434922778,0.478314769,0.434818627,0.434813262,0.478294728,0.478307155,0.434813261,0.391306187,0.391307902,0.478333516,0.478288871,0.478333516,0.434818627,0.478358145,0.478307155,0.347829859,0.521815949,0.521969067,0.434962212,0.43480468,0.478373199,0.391309019,0.521826023,0.478373199,0.391312523,0.391310197,0.521919951,0.43480468,0.478294728,0.434801382,0.434801382,0.391312118,0.478333516,0.521899344,0.521919951,0.478300516,0.43479604,0.434813261,0.478390417,0.478333516,0.478344995,0.478307155,0.391309019,0.391310197,0.39130601,0.478358145,0.478275074,0.478300516,0.478289687,0.478294728,0.391309019,0.478300516,0.521899344,0.434922778,0.434824859,0.478344995,0.391306857,0.478278329,0.391306857,0.478314769,0.478358145,0.391309019,0.434801379,0.434798508,0.478288871,0.478390417,0.478300516,0.478314769,0.434804681,0.434793782,0.478314769,0.43480864,0.521881011,0.521969067,0.478314769,0.478294728,0.478314769,0.391310197,0.521881011,0.478373199,0.391311285,12,20
p(Int),0.372693093,0.363591905,0.415003897,0.354488163,0.345381157,0.374968925,0.341587284,0.368142778,0.379973179,0.389980122,0.359040394,0.363591905,0.394982934,0.379973179,0.345381157,0.377242923,0.359040394,0.404987462,0.333233387,0.420003419,0.363591905,0.374968923,0.379973177,0.377242923,0.368142778,0.379973178,0.449997131,0.438884792,0.354488163,0.386341023,0.354488163,0.374968923,0.345381157,0.368142778,0.437495616,0.358283773,0.320693171,0.415003897,0.389980122,0.340826168,0.433328557,0.35411085,0.340826168,0.411103402,0.427772273,0.329054681,0.389980122,0.377242923,0.394982934,0.394982935,0.416659651,0.354488163,0.333233387,0.329054681,0.372693093,0.404987466,0.379973179,0.336270026,0.354488163,0.349935118,0.368142778,0.433328557,0.427772273,0.461109139,0.345381157,0.399984201,0.372693093,0.381792339,0.377242923,0.433328557,0.372693093,0.333233387,0.420003419,0.36996404,0.349935118,0.444440957,0.395438922,0.444440957,0.363591905,0.345381157,0.433328557,0.394982947,0.399985364,0.386341023,0.336270026,0.372693093,0.363591905,0.389980118,0.409989165,0.363591905,0.384976893,0.337410885,0.320693171,0.363591905,0.377242923,0.363591905,0.427772273,0.337410885,0.340826168,0.422215959,12,20
psi(Int),0.270853437,0.317670467,0.37154728,0.394630129,0.371547279,0.333487816,0.333487816,0.371547281,0.441991849,0.441991849,0.458933744,0.317670465,0.36464836,0.394630135,0.371547279,0.324117092,0.221148956,0.26700635,0.486228802,0.37154728,0.524469764,0.414118524,0.414118513,0.441991849,0.324117093,0.347366998,0.317670465,0.324117093,0.276746625,0.364648362,0.276746625,0.307974401,0.443382089,0.414118515,0.411744448,0.313199588,0.394630131,0.441991849,0.37154728,0.419019258,0.368583773,0.224265431,0.324117094,0.364648369,0.364648369,0.411744448,0.394630135,0.411744447,0.26700635,0.364648369,0.333487816,0.428756624,0.443382089,0.317670467,0.359643971,0.414118515,0.347366998,0.37154728,0.381133628,0.333487816,0.310101454,0.364648362,0.359643971,0.353379546,0.333487816,0.324117092,0.313199588,0.486228802,0.276746621,0.37154728,0.394630129,0.411744447,0.414118512,0.368583773,0.584555489,0.270853442,0.324117094,0.313199588,0.406280024,0.371547281,0.313199588,0.36464836,0.26700635,0.489821234,0.371547279,0.324117093,0.428756624,0.26700635,0.381133628,0.428756624,0.224265431,0.224265431,0.229462651,0.270853442,0.333487816,0.368583773,0.264509864,0.359643971,0.317670457,0.364648362,12,4
p(Int),0.561831143,0.547463663,0.497332668,0.413155166,0.49733267,0.456308316,0.456308316,0.497332662,0.418066848,0.418066848,0.521059834,0.547463663,0.536550252,0.413155168,0.49733267,0.503038786,0.638955419,0.610635136,0.335267005,0.497332668,0.290147785,0.367464704,0.367464706,0.418066848,0.503038787,0.406797188,0.547463663,0.503038787,0.51059108,0.536550252,0.51059108,0.670580599,0.318713191,0.367464705,0.527976379,0.589984154,0.413155166,0.418066848,0.497332668,0.492869321,0.353880048,0.581613764,0.503038787,0.536550253,0.536550253,0.527976379,0.413155168,0.52797638,0.610635136,0.536550253,0.456308316,0.456333801,0.318713191,0.547463663,0.574239985,0.367464705,0.406797188,0.497332668,0.456313931,0.456308316,0.630929396,0.536550252,0.574239985,0.645936831,0.456308316,0.503038786,0.589984154,0.335267005,0.510591081,0.497332668,0.413155166,0.52797638,0.367464706,0.353880048,0.241729071,0.561831157,0.503038787,0.589984154,0.561830972,0.497332662,0.589984154,0.536550252,0.610635136,0.266320613,0.49733267,0.503038787,0.456333801,0.610635136,0.456313931,0.456333801,0.581613764,0.581613764,0.521059899,0.561831157,0.456308316,0.353880048,0.657491894,0.574239985,0.547463664,0.536550252,12,4
psi(Int),0.349642279,0.396007859,0.351591703,0.401920796,0.350793618,0.442991292,0.444626398,0.399990688,0.350793618,0.397088945,0.392561949,0.436941375,0.442991292,0.437991288,0.350793618,0.448883548,0.351591703,0.348911638,0.350793618,0.393784044,0.34829869,0.350154098,0.401920796,0.397088945,0.396007859,0.396007859,0.437991285,0.305262397,0.350154098,0.487575961,0.397088945,0.350793618,0.496232529,0.392082233,0.54389114,0.398397926,0.349234933,0.394385316,0.496232529,0.441616539,0.305262397,0.396007859,0.491230697,0.348911638,0.441616539,0.395117523,0.350154098,0.350154098,0.396007859,0.439489749,0.396007859,0.397088945,0.442991292,0.394385316,0.491230697,0.41058268,0.349234933,0.305262397,0.394385316,0.395117523,0.398397926,0.396007859,0.397088945,0.350154098,0.454886328,0.351591703,0.440460792,0.305262397,0.394385316,0.350154098,0.396007859,0.441616539,0.350793618,0.442991292,0.348179485,0.441616539,0.350154098,0.349642279,0.491230697,0.351591703,0.350793618,0.407114713,0.493531356,0.441616539,0.393784044,0.396007859,0.394385316,0.352584664,0.304468446,0.349234933,0.395117523,0.348911639,0.351591703,0.349642279,0.306525611,0.350793618,0.305262397,0.442991292,0.350793618,0.395117523,12,8
p(Int),0.481858652,0.425442298,0.432813863,0.365099983,0.449291636,0.392588268,0.378921189,0.380446999,0.449291636,0.410598262,0.512242663,0.485091194,0.392588268,0.459111774,0.449291636,0.351109479,0.432813863,0.514020729,0.449291636,0.469248665,0.561733057,0.465631846,0.365099983,0.410598261,0.4254423,0.4254423,0.459111793,0.516305507,0.465631846,0.390111102,0.410598262,0.449291636,0.339514682,0.540591863,0.329749601,0.395604969,0.497982939,0.454752969,0.339514682,0.40611702,0.516305507,0.425442298,0.365098919,0.514020729,0.40611702,0.440155436,0.465631846,0.465631846,0.425442298,0.432814246,0.425442298,0.410598261,0.392588268,0.454752969,0.365098919,0.317693735,0.497982939,0.516305507,0.454752969,0.440155429,0.395604969,0.4254423,0.410598261,0.465631846,0.322557872,0.432813863,0.419521301,0.516305507,0.454752969,0.465631846,0.425442298,0.406117019,0.449291636,0.392588268,0.577540009,0.40611702,0.465631846,0.481858652,0.365098919,0.432813863,0.449291636,0.333748262,0.352385031,0.406117019,0.469248665,0.425442298,0.454752969,0.416180759,0.624752459,0.497982939,0.440155429,0.514020729,0.432813863,0.481858652,0.46097845,0.449291636,0.516305507,0.392588268,0.449291636,0.440155429,12,8
