sm_id,location,year,month,day,day current format,,,,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
13588,Behchoko,2014,7,12:00:00 AM,,,,,10:21:00 PM,1:00:00 AM,11:21:00 PM,2:25:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:25:30 AM,4:12:00 AM,12:08:00 AM,4:20:00 AM,17940
13588,Behchoko,2014,7,12:00:00 AM,,,,,10:23:00 PM,1:00:00 AM,11:23:00 PM,2:29:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:29:00 AM,4:21:00 AM,12:08:00 AM,4:29:00 AM,18360
13588,Behchoko,2014,7,12:00:00 AM,,,,,10:13:00 PM,1:00:00 AM,11:13:00 PM,1:52:00 AM,12:47:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:47:30 AM,1:52:00 AM,4:32:00 AM,12:07:00 AM,4:39:00 AM,19560
13588,Behchoko,2014,7,12:00:00 AM,,,,,10:03:00 PM,1:00:00 AM,11:03:00 PM,1:34:30 AM,1:15:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:15:30 AM,1:34:30 AM,4:43:00 AM,12:07:00 AM,4:50:00 AM,20820
13588,Behchoko,2014,7,12:00:00 AM,,,,,9:52:00 PM,1:00:00 AM,10:52:00 PM,1:24:00 AM,1:37:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:37:00 AM,1:24:00 AM,4:54:00 AM,12:07:00 AM,5:01:00 AM,22140
13588,Behchoko,2014,7,12:00:00 AM,,,,,9:40:00 PM,1:00:00 AM,10:40:00 PM,1:16:00 AM,1:56:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:56:30 AM,1:16:00 AM,5:05:00 AM,12:07:00 AM,5:12:00 AM,23520
13588,Behchoko,2014,8,12:00:00 AM,,,,,9:28:00 PM,1:00:00 AM,10:28:00 PM,1:10:30 AM,2:14:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:14:00 AM,1:10:30 AM,5:17:00 AM,12:06:00 AM,5:23:00 AM,24900
13588,Behchoko,2014,8,12:00:00 AM,,,,,9:16:00 PM,1:00:00 AM,10:16:00 PM,1:05:30 AM,2:30:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:30:30 AM,1:05:30 AM,5:28:00 AM,12:06:00 AM,5:34:00 AM,26280
13588,Behchoko,2014,8,12:00:00 AM,,,,,9:03:00 PM,1:00:00 AM,10:03:00 PM,1:01:30 AM,2:02:00 AM,12:45:00 AM,12:05:00 AM,12:45:00 AM,2:02:00 AM,1:01:30 AM,5:40:00 AM,12:06:00 AM,5:45:00 AM,28080
13588,Behchoko,2014,8,12:00:00 AM,,,,,8:51:00 PM,1:00:00 AM,9:51:00 PM,12:58:00 AM,1:38:00 AM,1:24:00 AM,12:06:00 AM,1:24:00 AM,1:38:00 AM,12:58:00 AM,5:51:00 AM,12:06:00 AM,5:57:00 AM,29520
13588,Behchoko,2014,8,12:00:00 AM,,,,,8:38:00 PM,1:00:00 AM,9:38:00 PM,12:55:30 AM,1:25:00 AM,1:51:30 AM,12:06:00 AM,1:51:30 AM,1:25:00 AM,12:55:30 AM,6:02:00 AM,12:06:00 AM,6:08:00 AM,30960
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:01:00 PM,1:00:00 AM,11:01:00 PM,1:14:00 AM,1:46:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:46:30 AM,1:14:00 AM,5:02:00 AM,12:06:00 AM,5:09:00 AM,22020
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:07:00 PM,1:00:00 AM,11:07:00 PM,1:17:30 AM,1:38:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:38:00 AM,1:17:30 AM,4:58:00 AM,12:06:00 AM,5:04:00 AM,21420
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:12:00 PM,1:00:00 AM,11:12:00 PM,1:21:30 AM,1:30:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:30:00 AM,1:21:30 AM,4:55:00 AM,12:06:00 AM,5:01:00 AM,20940
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:16:00 PM,1:00:00 AM,11:16:00 PM,1:24:00 AM,1:24:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:24:30 AM,1:24:00 AM,4:53:00 AM,12:06:00 AM,4:59:00 AM,20580
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:19:00 PM,1:00:00 AM,11:19:00 PM,1:25:30 AM,1:21:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:21:00 AM,1:25:30 AM,4:52:00 AM,12:06:00 AM,4:58:00 AM,20340
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:20:00 PM,1:00:00 AM,11:20:00 PM,1:26:00 AM,1:20:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:20:00 AM,1:26:00 AM,4:52:00 AM,12:07:00 AM,4:59:00 AM,20340
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:19:00 PM,1:00:00 AM,11:19:00 PM,1:24:30 AM,1:23:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:23:00 AM,1:24:30 AM,4:54:00 AM,12:07:00 AM,5:01:00 AM,20520
7524,Black Lake,2014,6,12:00:00 AM,,,,,10:17:00 PM,1:00:00 AM,11:17:00 PM,1:21:00 AM,1:29:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:29:00 AM,1:21:00 AM,4:57:00 AM,12:07:00 AM,5:04:00 AM,20820
7524,Black Lake,2014,7,12:00:00 AM,,,,,10:13:00 PM,1:00:00 AM,11:13:00 PM,1:18:00 AM,1:36:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:36:00 AM,1:18:00 AM,5:01:00 AM,12:07:00 AM,5:08:00 AM,21300
7524,Black Lake,2014,7,12:00:00 AM,,,,,10:13:00 PM,1:00:00 AM,11:13:00 PM,1:17:00 AM,1:40:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:40:00 AM,1:17:00 AM,5:07:00 AM,12:06:00 AM,5:13:00 AM,21600
7524,Black Lake,2014,7,12:00:00 AM,,,,,10:03:00 PM,1:00:00 AM,11:03:00 PM,1:11:00 AM,1:54:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:54:00 AM,1:11:00 AM,5:13:00 AM,12:06:00 AM,5:19:00 AM,22560
7524,Black Lake,2014,7,12:00:00 AM,,,,,9:56:00 PM,1:00:00 AM,10:56:00 PM,1:07:30 AM,2:04:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:04:30 AM,1:07:30 AM,5:20:00 AM,12:06:00 AM,5:26:00 AM,23400
7524,Black Lake,2014,7,12:00:00 AM,,,,,9:56:00 PM,1:00:00 AM,10:56:00 PM,1:05:30 AM,2:10:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:10:00 AM,1:05:30 AM,5:27:00 AM,12:06:00 AM,5:33:00 AM,23820
7524,Black Lake,2014,7,12:00:00 AM,,,,,9:48:00 PM,1:00:00 AM,10:48:00 PM,1:02:30 AM,2:21:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:21:00 AM,1:02:30 AM,5:35:00 AM,12:06:00 AM,5:41:00 AM,24780
7524,Black Lake,2014,7,12:00:00 AM,,,,,9:40:00 PM,1:00:00 AM,10:40:00 PM,12:59:30 AM,2:32:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:32:30 AM,12:59:30 AM,5:44:00 AM,12:05:00 AM,5:49:00 AM,25740
7524,Black Lake,2014,7,12:00:00 AM,,,,,9:31:00 PM,1:00:00 AM,10:31:00 PM,12:57:00 AM,1:43:30 AM,1:00:30 AM,12:05:00 AM,1:00:30 AM,1:43:30 AM,12:57:00 AM,5:53:00 AM,12:05:00 AM,5:58:00 AM,27120
7524,Black Lake,2014,8,12:00:00 AM,,,,,9:22:00 PM,1:00:00 AM,10:22:00 PM,12:53:30 AM,1:29:30 AM,1:26:30 AM,12:06:00 AM,1:26:30 AM,1:29:30 AM,12:53:30 AM,6:01:00 AM,12:05:00 AM,6:07:00 AM,28200
