sm_id,location,year,month,day,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
7758,Carp,2014,8,5,19:28:00,3600,20:28:00,1980,2520,2880,19440,2880,2520,1980,5:55:00,210,5:58:00,34410
7758,Carp,2014,8,8,19:24:00,3600,20:24:00,1980,2460,2820,20160,2820,2460,1980,5:59:00,210,6:02:00,34890
7758,Carp,2014,8,12,19:18:00,3600,20:18:00,1920,2430,2700,21240,2700,2430,1920,6:03:00,210,6:07:00,35550
7758,Carp,2014,8,16,19:11:00,3600,20:11:00,1920,2370,2610,22260,2610,2370,1920,6:08:00,210,6:12:00,36270
7758,Carp,2014,8,20,19:05:00,3600,20:05:00,1860,2340,2520,23220,2520,2340,1860,6:13:00,210,6:16:00,36870
8246,Carp,2014,6,1,19:45:00,3600,20:45:00,2220,2910,3720,13380,3720,2910,2220,5:20:00,210,5:23:00,31290
8246,Carp,2014,6,5,19:49:00,3600,20:49:00,2220,2970,3840,12720,3840,2970,2220,5:18:00,210,5:22:00,30990
8246,Carp,2014,6,9,19:51:00,3600,20:51:00,2280,3000,3930,12120,3930,3000,2280,5:17:00,210,5:20:00,30750
8246,Carp,2014,6,13,19:54:00,3600,20:54:00,2280,3030,4020,11700,4020,3030,2280,5:16:00,210,5:20:00,30570
8246,Carp,2014,6,17,19:55:00,3600,20:55:00,2280,3030,4080,11520,4080,3030,2280,5:16:00,210,5:20:00,30510
8246,Carp,2014,6,21,19:57:00,3600,20:57:00,2280,3060,4080,11400,4080,3060,2280,5:17:00,210,5:21:00,30450
8246,Carp,2014,6,25,19:57:00,3600,20:57:00,2280,3000,4080,11580,4080,3000,2280,5:18:00,210,5:22:00,30510
8246,Carp,2014,6,29,19:57:00,3600,20:57:00,2280,3000,4020,11820,4020,3000,2280,5:20:00,210,5:24:00,30630
8246,Carp,2014,7,3,19:56:00,3600,20:56:00,2250,2970,3930,12300,3930,2970,2250,5:22:00,210,5:26:00,30810
8246,Carp,2014,7,7,19:55:00,3600,20:55:00,2220,2940,3810,12900,3810,2940,2220,5:25:00,210,5:29:00,31050
8246,Carp,2014,7,11,19:53:00,3600,20:53:00,2190,2880,3660,13680,3660,2880,2190,5:28:00,210,5:32:00,31350
8246,Carp,2014,7,15,19:50:00,3600,20:50:00,2160,2850,3540,14400,3540,2850,2160,5:32:00,210,5:35:00,31710
8246,Carp,2014,7,19,19:47:00,3600,20:47:00,2160,2760,3390,15300,3390,2760,2160,5:36:00,210,5:39:00,32130
8246,Carp,2014,7,23,19:43:00,3600,20:43:00,2130,2700,3270,16260,3270,2700,2130,5:40:00,210,5:44:00,32670
8246,Carp,2014,7,27,19:39:00,3600,20:39:00,2070,2640,3150,17220,3150,2640,2070,5:44:00,210,5:48:00,33150
8246,Carp,2014,7,31,19:34:00,3600,20:34:00,2070,2580,3000,18180,3000,2580,2070,5:49:00,210,5:52:00,33690
8246,Carp,2014,8,4,19:29:00,3600,20:29:00,2040,2520,2910,19140,2910,2520,2040,5:54:00,210,5:57:00,34290
8246,Carp,2014,8,5,19:28:00,3600,20:28:00,1980,2520,2880,19440,2880,2520,1980,5:55:00,210,5:58:00,34410
8246,Carp,2014,8,8,19:24:00,3600,20:24:00,1980,2460,2820,20160,2820,2460,1980,5:59:00,210,6:02:00,34890
8246,Carp,2014,8,12,19:18:00,3600,20:18:00,1920,2430,2700,21240,2700,2430,1920,6:03:00,210,6:07:00,35550
8246,Carp,2014,8,16,19:11:00,3600,20:11:00,1920,2370,2610,22260,2610,2370,1920,6:08:00,210,6:12:00,36270
8246,Carp,2014,8,20,19:05:00,3600,20:05:00,1860,2340,2520,23220,2520,2340,1860,6:13:00,210,6:16:00,36870
7689,Gordon Creek,2014,6,1,20:55:00,3600,21:55:00,2640,3810,7650,240,7650,3810,2640,5:45:00,240,5:49:00,28680
7689,Gordon Creek,2014,6,5,20:59:00,3600,21:59:00,2700,3870,7320,240,7320,3870,2700,5:42:00,240,5:46:00,28260
7689,Gordon Creek,2014,6,9,21:02:00,3600,22:02:00,2700,4020,7020,300,7020,4020,2700,5:40:00,300,5:45:00,28080
7689,Gordon Creek,2014,6,13,21:05:00,3600,22:05:00,2730,4050,6840,300,6840,4050,2730,5:39:00,300,5:44:00,27840
7689,Gordon Creek,2014,6,17,21:07:00,3600,22:07:00,2760,4080,6720,300,6720,4080,2760,5:39:00,300,5:44:00,27720
7689,Gordon Creek,2014,6,21,21:08:00,3600,22:08:00,2760,4140,6660,240,6660,4140,2760,5:40:00,300,5:44:00,27660
7689,Gordon Creek,2014,6,25,21:09:00,3600,22:09:00,2760,4140,6720,180,6720,4140,2760,5:41:00,300,5:46:00,27720
7689,Gordon Creek,2014,6,29,21:08:00,3600,22:08:00,2730,4020,6900,300,6900,4020,2730,5:43:00,300,5:48:00,27900
7689,Gordon Creek,2014,7,3,21:07:00,3600,22:07:00,2700,3990,7080,240,7080,3990,2700,5:46:00,240,5:50:00,28020
7689,Gordon Creek,2014,7,7,21:05:00,3600,22:05:00,2700,3840,7410,240,7410,3840,2700,5:50:00,240,5:54:00,28380
7689,Gordon Creek,2014,7,11,21:02:00,3600,22:02:00,2640,3750,7770,240,7770,3750,2640,5:54:00,240,5:58:00,28800
7689,Gordon Creek,2014,7,15,20:59:00,3600,21:59:00,2580,3630,8160,240,8160,3630,2580,5:58:00,240,6:02:00,29220
7689,Gordon Creek,2014,7,19,20:55:00,3600,21:55:00,2520,3510,5940,5580,5940,3510,2520,6:03:00,240,6:07:00,29760
7689,Gordon Creek,2014,7,23,20:50:00,3600,21:50:00,2490,3360,5160,8100,5160,3360,2490,6:08:00,240,6:12:00,30360
7689,Gordon Creek,2014,7,27,20:45:00,3600,21:45:00,2430,3270,4620,10140,4620,3270,2430,6:14:00,240,6:18:00,31020
7689,Gordon Creek,2014,7,31,20:39:00,3600,21:39:00,2370,3120,4230,12000,4230,3120,2370,6:19:00,240,6:23:00,31680
7689,Gordon Creek,2014,8,4,20:33:00,3600,21:33:00,2280,3060,3900,13680,3900,3060,2280,6:25:00,240,6:29:00,32400
7689,Gordon Creek,2014,8,8,20:26:00,3600,21:26:00,2250,2940,3630,15300,3630,2940,2250,6:31:00,240,6:35:00,33180
7689,Gordon Creek,2014,8,12,20:19:00,3600,21:19:00,2220,2820,3420,16800,3420,2820,2220,6:37:00,240,6:41:00,33960
7689,Gordon Creek,2014,8,16,20:11:00,3600,21:11:00,2220,2760,3210,18180,3210,2760,2220,6:44:00,180,6:47:00,34740
7689,Gordon Creek,2014,8,20,20:03:00,3600,21:03:00,2160,2670,3120,19500,3120,2670,2160,6:50:00,180,6:53:00,35580
7734,Gordon Creek,2014,6,1,20:55:00,3600,21:55:00,2640,3810,7650,240,7650,3810,2640,5:45:00,240,5:49:00,28680
7734,Gordon Creek,2014,6,5,20:59:00,3600,21:59:00,2700,3870,7320,240,7320,3870,2700,5:42:00,240,5:46:00,28260
7734,Gordon Creek,2014,6,9,21:02:00,3600,22:02:00,2700,4020,7020,300,7020,4020,2700,5:40:00,300,5:45:00,28080
7734,Gordon Creek,2014,6,13,21:05:00,3600,22:05:00,2730,4050,6840,300,6840,4050,2730,5:39:00,300,5:44:00,27840
7734,Gordon Creek,2014,6,17,21:07:00,3600,22:07:00,2760,4080,6720,300,6720,4080,2760,5:39:00,300,5:44:00,27720
7734,Gordon Creek,2014,6,21,21:08:00,3600,22:08:00,2760,4140,6660,240,6660,4140,2760,5:40:00,300,5:44:00,27660
7734,Gordon Creek,2014,6,25,21:09:00,3600,22:09:00,2760,4140,6720,180,6720,4140,2760,5:41:00,300,5:46:00,27720
7734,Gordon Creek,2014,6,29,21:08:00,3600,22:08:00,2730,4020,6900,300,6900,4020,2730,5:43:00,300,5:48:00,27900
7734,Gordon Creek,2014,7,3,21:07:00,3600,22:07:00,2700,3990,7080,240,7080,3990,2700,5:46:00,240,5:50:00,28020
7734,Gordon Creek,2014,7,7,21:05:00,3600,22:05:00,2700,3840,7410,240,7410,3840,2700,5:50:00,240,5:54:00,28380
7734,Gordon Creek,2014,7,11,21:02:00,3600,22:02:00,2640,3750,7770,240,7770,3750,2640,5:54:00,240,5:58:00,28800
7734,Gordon Creek,2014,7,15,20:59:00,3600,21:59:00,2580,3630,8160,240,8160,3630,2580,5:58:00,240,6:02:00,29220
7734,Gordon Creek,2014,7,19,20:55:00,3600,21:55:00,2520,3510,5940,5580,5940,3510,2520,6:03:00,240,6:07:00,29760
7734,Gordon Creek,2014,7,23,20:50:00,3600,21:50:00,2490,3360,5160,8100,5160,3360,2490,6:08:00,240,6:12:00,30360
7734,Gordon Creek,2014,7,27,20:45:00,3600,21:45:00,2430,3270,4620,10140,4620,3270,2430,6:14:00,240,6:18:00,31020
7734,Gordon Creek,2014,7,31,20:39:00,3600,21:39:00,2370,3120,4230,12000,4230,3120,2370,6:19:00,240,6:23:00,31680
7734,Gordon Creek,2014,8,4,20:33:00,3600,21:33:00,2280,3060,3900,13680,3900,3060,2280,6:25:00,240,6:29:00,32400
7734,Gordon Creek,2014,8,8,20:26:00,3600,21:26:00,2250,2940,3630,15300,3630,2940,2250,6:31:00,240,6:35:00,33180
7734,Gordon Creek,2014,8,12,20:19:00,3600,21:19:00,2220,2820,3420,16800,3420,2820,2220,6:37:00,240,6:41:00,33960
7734,Gordon Creek,2014,8,16,20:11:00,3600,21:11:00,2220,2760,3210,18180,3210,2760,2220,6:44:00,180,6:47:00,34740
7734,Gordon Creek,2014,8,20,20:03:00,3600,21:03:00,2160,2670,3120,19500,3120,2670,2160,6:50:00,180,6:53:00,35580
7734,Gordon Creek,2014,8,24,19:55:00,3600,20:55:00,2100,2640,2910,20940,2910,2640,2100,6:56:00,180,6:59:00,36420
7734,Gordon Creek,2014,8,28,19:47:00,3600,20:47:00,2070,2550,2850,22140,2850,2550,2070,7:02:00,180,7:05:00,37260
7755,Gordon Creek,2014,6,17,21:07:00,3600,22:07:00,2760,4110,6690,240,6690,4110,2760,5:39:00,240,5:43:00,27600
7755,Gordon Creek,2014,6,19,21:08:00,3600,22:08:00,2760,4140,6660,180,6660,4140,2760,5:39:00,240,5:43:00,27540
7755,Gordon Creek,2014,6,21,21:08:00,3600,22:08:00,2760,4140,6660,240,6660,4140,2760,5:40:00,240,5:44:00,27600
7755,Gordon Creek,2014,6,23,21:08:00,3600,22:08:00,2760,4140,6660,240,6660,4140,2760,5:40:00,240,5:44:00,27600
7755,Gordon Creek,2014,6,25,21:08:00,3600,22:08:00,2760,4110,6720,240,6720,4110,2760,5:41:00,240,5:45:00,27660
7755,Gordon Creek,2014,6,27,21:08:00,3600,22:08:00,2760,4050,6780,300,6780,4050,2760,5:42:00,240,5:46:00,27720
7755,Gordon Creek,2014,6,29,21:08:00,3600,22:08:00,2730,4050,6870,240,6870,4050,2730,5:43:00,240,5:47:00,27780
7755,Gordon Creek,2014,7,1,21:08:00,3600,22:08:00,2700,4020,6960,300,6960,4020,2700,5:44:00,240,5:49:00,27900
7755,Gordon Creek,2014,7,3,21:07:00,3600,22:07:00,2700,3990,7080,240,7080,3990,2700,5:46:00,240,5:50:00,28020
7755,Gordon Creek,2014,7,5,21:06:00,3600,22:06:00,2670,3960,7200,300,7200,3960,2670,5:47:00,240,5:52:00,28200
7755,Gordon Creek,2014,7,7,21:05:00,3600,22:05:00,2640,3900,7380,240,7380,3900,2640,5:49:00,240,5:53:00,28320
7755,Gordon Creek,2014,7,9,21:04:00,3600,22:04:00,2640,3810,7560,240,7560,3810,2640,5:51:00,240,5:55:00,28500
7755,Gordon Creek,2014,7,11,21:02:00,3600,22:02:00,2610,3780,7740,240,7740,3780,2610,5:53:00,240,5:57:00,28740
7755,Gordon Creek,2014,7,13,21:01:00,3600,22:01:00,2580,3690,7950,300,7950,3690,2580,5:55:00,240,6:00:00,28980
7755,Gordon Creek,2014,7,15,20:59:00,3600,21:59:00,2580,3660,8130,240,8130,3660,2580,5:58:00,240,6:02:00,29220
7755,Gordon Creek,2014,7,17,20:57:00,3600,21:57:00,2550,3570,6600,3780,6600,3570,2550,6:00:00,240,6:04:00,29460
7755,Gordon Creek,2014,7,19,20:55:00,3600,21:55:00,2550,3510,5940,5520,5940,3510,2550,6:03:00,240,6:07:00,29760
7755,Gordon Creek,2014,7,21,20:52:00,3600,21:52:00,2520,3450,5490,6900,5490,3450,2520,6:05:00,240,6:09:00,30060
7755,Gordon Creek,2014,7,23,20:50:00,3600,21:50:00,2460,3420,5130,8100,5130,3420,2460,6:08:00,240,6:12:00,30360
