"","X","model","formula","p.Int.","SEp.Int.","p.julian2Xlat.s.","SEp.julian2Xlat.s.","p.julianXlat.s.","SEp.julianXlat.s.","p.latitude.","SEp.latitude.","p.ordinal.s.","SEp.ordinal.s.","p.ordinal.s2.","SEp.ordinal.s2.","p.temp.s.","SEp.temp.s.","p.tsss.s.","SEp.tsss.s.","p.tsss.s2.","SEp.tsss.s2.","p.tsss2Xlat.s.","SEp.tsss2Xlat.s.","p.tsssXlat.s.","SEp.tsssXlat.s.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","samplenum","duration","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n."
"29",6,"TSSS.quadraticXlat","~tsss.s + tsss.s2 + latitude + tsssXlat.s + tsss2Xlat.s ~ 1",-1.55072864268734,0.404630662329269,NA,NA,NA,NA,1.84391758467418,0.635603624477169,NA,NA,NA,NA,NA,NA,13.4939124457958,10.5805332267567,-14.4675131443677,12.0206498196874,16.4435675650892,11.6679359399422,-16.0840712287698,10.398167757822,-0.334908077161121,0.498234431209656,1,20689.0823377502,49.0839631621601,7,23,112.16792632432,0,0.28948301387627,NA,0.28948301387627,12,1020,NA
"30",15,"Temperature","~tsss.s + tsss.s2 + temp.s ~ 1",-1.622393921612,0.29605889809031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605675659395137,0.294050500362589,-1.53668331474313,0.750178299934376,1.42563762979847,0.793613695233397,NA,NA,NA,NA,0.0677253948394064,0.50256351435892,0,41.1027591272687,66.0813521857688,5,23,142.162704371538,0,0.230820057965097,NA,0.230820057965097,12,1080,NA
"31",9,"Julian.linearXlat","~ordinal.s + latitude + julianXlat.s ~ 1",-1.72825158694656,0.348474835744003,NA,NA,13.5852006877795,6.36955599133317,-10.3429813134718,5.34933380999097,-10.2933693648912,5.02614086154052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.224541797067281,0.514416268160136,0,1940.92838105671,50.5329994273175,5,23,111.065998854635,0,0.31647542114693,NA,0.31647542114693,12,1140,NA
"32",6,"TSSS.quadraticXlat","~tsss.s + tsss.s2 + latitude + tsssXlat.s + tsss2Xlat.s ~ 1",-0.977959198611494,0.227559354435238,NA,NA,NA,NA,0.526924384571136,0.327897251864529,NA,NA,NA,NA,NA,NA,-1.87049085012643,6.0025128455019,-4.31644837630546,6.79228308803063,5.94633874201449,6.51538612756864,-0.0528521835239955,5.72261813349969,0.420831813020338,0.46176004051359,0,15033.4949806834,88.5081235935009,7,23,191.016247187002,0,0.316951225916224,NA,0.316951225916224,12,3600,NA
"33",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,60,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"34",2,"Latitude","~latitude ~ 1",-1.43395564861129,0.266719207228126,NA,NA,NA,NA,0.503869527683958,0.234484829205547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449902280358864,0.499677651543744,0,5.24209162826829,71.8510416165436,3,23,149.702083233087,0,0.233075389569317,NA,0.233075389569317,12,1200,NA
"35",1,"Null","~1 ~ 1",-2.02576648551101,0.490998956258525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.764558358837581,0.667935517733258,0,3.61200811755944,35.4181692259994,2,23,74.8363384519988,0,0.196178763162197,NA,0.196178763162197,12,120,NA
"36",15,"Temperature","~temp.s ~ 1",-2.05667082385527,0.452339475340607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704458136724765,0.460716110462285,NA,NA,NA,NA,NA,NA,NA,NA,-0.542195809993235,0.607071895375036,0,3.86970128145452,39.9874688911062,3,23,85.9749377822125,0,0.227943771441996,NA,0.227943771441996,12,180,NA
"37",1,"Null","~1 ~ 1",-1.93118306621485,0.48675177001258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.837764110610174,0.638470869474863,0,3.19949967006629,35.0699632285703,2,23,74.1399264571405,0,0.199259191824638,NA,0.199259191824638,12,240,NA
"38",15,"Temperature","~tsss.s + latitude + tsssXlat.s + temp.s ~ 1",-3.69785847933946,0.903260467511161,NA,NA,NA,NA,1.22170053024083,0.512565095564419,NA,NA,NA,NA,0.92693425141438,0.394648198495643,-2.62249281236204,6.92233503320634,NA,NA,NA,NA,0.628285123982192,6.34333982141062,0.164486723120366,0.669913533624578,0,2534.96594096495,36.1171060884292,6,23,84.2342121768584,0,0.670077126646915,NA,0.670077126646915,12,300,NA
