"","X","samplenum","duration","meanprobdetection","AUC"
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,20,660,0.0779220779220779,0.610892018779343
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,20,720,0.114285714285714,0.650626499600107
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,20,780,0.109090909090909,0.718901846452867
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,20,840,0.103896103896104,0.666485507246377
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,20,900,0.103896103896104,0.726376811594203
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,20,960,0.103896103896104,0.708405797101449
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,20,1020,0.109090909090909,0.721504928502013
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,20,1080,0.124675324675325,0.747836300692384
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,20,1140,0.0883116883116883,0.678230266465561
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,20,3600,0.223376623376623,0.678035311503461
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,20,60,0.025974025974026,0.6616
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,20,1200,0.155844155844156,0.667179487179487
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,20,120,0.0337662337662338,0.5
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,20,180,0.051948051948052,0.775205479452055
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,20,240,0.0571428571428571,0.757951414976208
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,20,300,0.0571428571428571,0.5
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,20,360,0.0545454545454545,0.653715332286761
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,20,420,0.0961038961038961,0.785647716682199
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,20,480,0.0571428571428571,0.640120210368144
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,20,540,0.0623376623376623,0.76904432132964
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,24,600,0.0844155844155844,0.722313147845063
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,24,660,0.0779220779220779,0.713745435576421
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,24,720,0.0974025974025974,0.717985611510791
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,24,780,0.0887445887445888,0.688807137477551
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,24,840,0.112554112554113,0.726313320825516
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,24,900,0.0995670995670996,0.661946070234114
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,24,960,0.11038961038961,0.700515242593388
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,24,1020,0.0952380952380952,0.743801652892562
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,24,1080,0.0974025974025974,0.703810285105249
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,24,1140,0.116883116883117,0.692719680464778
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,24,3600,0.199134199134199,0.662749706227967
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,24,60,0.0281385281385281,0.5
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,24,1200,0.103896103896104,0.674315619967794
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,24,120,0.0324675324675325,0.697762863534676
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,24,180,0.0303030303030303,0.65625
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,24,240,0.038961038961039,0.641516516516517
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,24,300,0.0606060606060606,0.664911125740619
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,24,360,0.0692640692640693,0.692841569767442
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,24,420,0.0584415584415584,0.676160068114091
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,24,480,0.0735930735930736,0.611324903793293
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,24,540,0.0822510822510823,0.756703078450844
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,28,600,0.0742115027829314,0.653782565130261
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,28,660,0.0742115027829314,0.680561122244489
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,28,720,0.0853432282003711,0.669922391745304
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,28,780,0.0964749536178108,0.74387932396146
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,28,840,0.0723562152133581,0.681076923076923
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,28,900,0.0909090909090909,0.635776759683465
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,28,960,0.103896103896104,0.657645666962437
