X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.444466658,0.556665868,0.556507032,0.500234173,0.556061609,0.555826873,0.556665868,0.500194205,0.668428725,0.500072654,0.50013291,0.500090258,0.500234173,0.55625146,0.50040634,0.612104901,0.612526175,0.444501192,0.611968342,0.55625146,0.556149434,0.444654491,0.612342523,0.444515584,0.612526175,0.555762624,0.556149434,0.500090258,0.556665868,0.55625146,0.612735766,0.555762624,0.444555142,0.55625146,0.500581295,0.444555142,0.50040634,0.500581295,0.556665868,0.612735766,0.556369838,0.500693253,0.444533325,0.501151728,0.612342523,0.500281897,0.556149434,0.612526175,0.444555142,0.555721238,0.500825213,0.500281897,0.556507032,0.444555142,0.556507032,0.612104901,0.500072654,0.500581295,0.500234173,0.500160797,0.555762624,0.556849559,0.444480428,0.44458189,0.556149434,0.500194205,0.444501192,0.500338757,0.500825213,0.611454969,0.55625146,0.500825213,0.500693253,0.61357776,0.670856541,0.557061806,0.50013291,0.612342523,0.500281897,0.500338757,0.556665868,0.555826873,0.555826873,0.612526175,0.50040634,0.500486478,0.612526175,0.556369838,0.500338757,0.555740122,0.612261392,0.44458189,0.556369838,0.556149434,0.50096753,0.555721238,0.500194205,0.557306843,0.500581295,0.555762624,10,15
p(Int),0.48330919,0.33932184,0.346073967,0.399807123,0.372993572,0.379731358,0.33932184,0.407244238,0.326855031,0.444378462,0.422107291,0.436957421,0.399807123,0.359549614,0.377467031,0.3510032,0.332529588,0.449942552,0.357121932,0.359549614,0.366275121,0.399811039,0.338682177,0.441595983,0.332529588,0.393129535,0.366275121,0.436957421,0.33932184,0.359549614,0.326367002,0.393129535,0.424894168,0.359549614,0.362541119,0.424894168,0.377467031,0.362541119,0.33932184,0.326367002,0.352816207,0.355065078,0.433246698,0.332559106,0.338682177,0.392365681,0.366275121,0.332529588,0.424894168,0.406512228,0.347578537,0.392365681,0.346073967,0.424894168,0.346073967,0.3510032,0.444378462,0.362541119,0.399807123,0.414677512,0.393129535,0.332558737,0.46662912,0.416537847,0.366275121,0.407244238,0.449942552,0.384919258,0.347578537,0.393725781,0.359549614,0.347578537,0.355065078,0.307843936,0.287084613,0.325783399,0.422107291,0.338682177,0.392365681,0.384919258,0.33932184,0.379731358,0.379731358,0.332529588,0.377467031,0.370008023,0.332529588,0.352816207,0.384919258,0.399822488,0.344877534,0.416537847,0.352816207,0.366275121,0.340072927,0.406512228,0.407244238,0.31899443,0.362541119,0.393129535,10,15
psi(Int),0.500077666,0.500042672,0.500019628,0.556043028,0.612012059,0.500042672,0.555712807,0.500019628,0.613142315,0.444530519,0.669114266,0.555741259,0.500090769,0.555712805,0.612145145,0.555910929,0.612469344,0.444489143,0.612296643,0.444500202,0.669114266,0.555910929,0.555910929,0.444455576,0.613430146,0.555774502,0.500371365,0.555813286,0.612145145,0.555813286,0.444489143,0.556604498,0.611792899,0.556043028,0.500076473,0.444480174,0.500012321,0.556330889,0.444606303,0.500077666,0.500142417,0.555688115,0.611792899,0.556330889,0.555688115,0.611792897,0.444489143,0.444451006,0.444550986,0.50009285,0.611626292,0.555741259,0.44446234,0.44451381,0.555741259,0.556221235,0.555813286,0.50009285,0.444606303,0.556330889,0.556773726,0.500042672,0.50009285,0.556043028,0.556126825,0.555858473,0.500180361,0.500019628,0.612145145,0.500076473,0.500122091,0.555541229,0.500042672,0.500090769,0.444472917,0.500077666,0.611792897,0.500535404,0.500019628,0.500076473,0.611629769,0.611792899,0.556043028,0.444530519,0.500019628,0.444575989,0.555858472,0.556221235,0.444455576,0.555511094,0.555813286,0.444472915,0.500122091,0.444489143,0.555910929,0.556604498,0.388899282,0.556043028,0.444550986,0.5003621,10,16
p(Int),0.416568973,0.38873461,0.395701302,0.355937664,0.33473379,0.38873461,0.399886806,0.395701302,0.300138772,0.4139824,0.295789026,0.393618418,0.437473371,0.399886799,0.328988792,0.368514184,0.317476196,0.437456001,0.32323651,0.429633604,0.295789026,0.368514183,0.368514184,0.484362906,0.294337574,0.387347338,0.360779156,0.381073207,0.328988792,0.381073207,0.43745599,0.324387719,0.346204634,0.355937664,0.3817646,0.445276695,0.472225736,0.337030616,0.390483297,0.416568973,0.423575819,0.40615223,0.346204634,0.337030616,0.40615223,0.346204629,0.437456001,0.499992341,0.406152795,0.409603877,0.363421165,0.393618418,0.468731123,0.421809193,0.393618421,0.343340473,0.381073204,0.409603877,0.390483297,0.337030616,0.318052658,0.38873461,0.409603877,0.355937666,0.349643933,0.374795635,0.36781208,0.395701302,0.328988792,0.3817646,0.374790656,0.41869757,0.38873461,0.437473371,0.453095969,0.416568973,0.346204629,0.346824732,0.395701302,0.3817646,0.357682435,0.346204634,0.355937664,0.4139824,0.395701302,0.398319882,0.374795632,0.343340473,0.484362906,0.412444954,0.381073207,0.453095981,0.374790656,0.437456001,0.368514184,0.324387719,0.482129972,0.355937666,0.406152795,0.444562534,10,16
psi(Int),0.333333308,0.471404514,0.333333308,0.471404514,0.527046292,0.408248282,0.471404514,0.471404514,0.527046293,0.408248282,0.471404514,0.471404514,0.333333308,0.577350262,0.408248298,0.471404514,0.333333308,0.471404514,0.408248282,0.471404514,0.333333308,0.527046292,0.408248282,0.333333308,0.527046292,0.471404514,0.471404514,0.471404514,0.471404514,0.527046292,0.408248282,0.471404514,0.333333308,0.333333308,0.471404514,0.471404514,0.471404529,0.471404514,0.333333308,0.408248282,0.235702252,0.408248282,0.471404514,0.471404514,0.408248282,0.333333308,0.471404514,0.471404514,0.408248295,0.333333308,0.235702252,0.408248282,0.333333308,0.408248282,0.408248282,0.471404514,0.235702252,0.527046292,0.527046293,0.471404514,0.577350262,0.235702252,0.527046293,0.408248282,0.408248295,0.471404514,0.471404514,0.471404514,0.235702252,0.527046292,0.527046292,0.333333308,0.471404514,0.471404514,0.471404514,0.408248282,0.408248295,0.408248295,0.408248282,0.235702252,0.471404514,0.471404514,0.333333308,0.471404514,0.471404514,0.577350262,0.577350262,0.408248282,0.333333308,0.408248282,0.577350262,0.408248282,0.471404514,0.235702252,0.577350262,0.471404514,0.471404514,0.235702252,0.408248295,0.471404514,10,1
p(Int),0.333333308,0.471404514,0.333333308,0.471404514,0.527046292,0.408248282,0.471404514,0.471404514,0.527046293,0.408248282,0.471404514,0.471404514,0.333333308,0.577350262,0.408248298,0.471404514,0.333333308,0.471404514,0.408248282,0.471404514,0.333333308,0.527046292,0.408248282,0.333333308,0.527046292,0.471404514,0.471404514,0.471404514,0.471404514,0.527046292,0.408248282,0.471404514,0.333333308,0.333333308,0.471404514,0.471404514,0.471404529,0.471404514,0.333333308,0.408248282,0.235702252,0.408248282,0.471404514,0.471404514,0.408248282,0.333333308,0.471404514,0.471404514,0.408248295,0.333333308,0.235702252,0.408248282,0.333333308,0.408248282,0.408248282,0.471404514,0.235702252,0.527046292,0.527046293,0.471404514,0.577350262,0.235702252,0.527046293,0.408248282,0.408248295,0.471404514,0.471404514,0.471404514,0.235702252,0.527046292,0.527046292,0.333333308,0.471404514,0.471404514,0.471404514,0.408248282,0.408248295,0.408248295,0.408248282,0.235702252,0.471404514,0.471404514,0.333333308,0.471404514,0.471404514,0.577350262,0.577350262,0.408248282,0.333333308,0.408248282,0.577350262,0.408248282,0.471404514,0.235702252,0.577350262,0.471404514,0.471404514,0.235702252,0.408248295,0.471404514,10,1
psi(Int),0.555789897,0.555784784,0.555812563,0.555784784,0.500013199,0.611304514,0.611442157,0.555806625,0.555789304,0.611671997,0.555784784,0.611052193,0.500008817,0.555784773,0.555819263,0.611364421,0.500020319,0.555784784,0.50001138,0.555789897,0.500016306,0.555789897,0.611400778,0.500010818,0.500013199,0.555812563,0.611257751,0.500079585,0.611033348,0.611836957,0.500016306,0.500032859,0.555852256,0.555569961,0.555789304,0.611033348,0.500016306,0.555783187,0.555819263,0.555789897,0.611304514,0.611237196,0.555784784,0.666883675,0.555784784,0.555789897,0.555789897,0.555789304,0.611304514,0.555789897,0.500020319,0.555798968,0.500053867,0.500025629,0.611279503,0.500007204,0.444457994,0.611052193,0.500016306,0.611033348,0.555783187,0.555783187,0.555812563,0.610974727,0.444452064,0.611333441,0.611364421,0.555834496,0.555789897,0.611237196,0.611304514,0.611333441,0.555784784,0.555789304,0.555789897,0.555789304,0.500053867,0.500008817,0.555789304,0.611279503,0.500008817,0.611364399,0.610974727,0.611333441,0.555831378,0.555798968,0.611304514,0.66788885,0.500008817,0.500007204,0.500025629,0.555784784,0.44462311,0.500007204,0.500010818,0.555784773,0.500025629,0.611364421,0.555927952,0.500064076,10,20
p(Int),0.354910734,0.359921344,0.344884175,0.359921344,0.411102863,0.331713414,0.313466673,0.384950692,0.374943608,0.295184022,0.359921344,0.368070404,0.42221389,0.369937722,0.389951637,0.322593667,0.399990477,0.359921344,0.444438243,0.354910734,0.405546536,0.354910734,0.318031146,0.416656226,0.411102863,0.344884175,0.340827303,0.372230379,0.363498148,0.2860245,0.405546536,0.388880333,0.399946774,0.414993415,0.374943608,0.363498148,0.405546536,0.364930314,0.389951637,0.354910734,0.331713414,0.345384217,0.359921344,0.303951402,0.359921344,0.354910734,0.354910734,0.374943608,0.331713413,0.354910734,0.399990477,0.349898384,0.366656199,0.394434942,0.336271017,0.42777108,0.406237372,0.368070404,0.405546536,0.363498148,0.364930314,0.364930314,0.344884175,0.349752432,0.449997679,0.327154345,0.322593667,0.394950493,0.354910734,0.345384217,0.331713414,0.327154345,0.359921344,0.374943608,0.354910734,0.374943608,0.366656199,0.42221389,0.374943608,0.336271019,0.42221389,0.322593644,0.349752432,0.327154345,0.33986799,0.349898384,0.331713413,0.270337704,0.42221389,0.42777108,0.394434942,0.359921344,0.412519766,0.42777108,0.416656227,0.369937722,0.394434942,0.322593667,0.32480653,0.361108632,10,20
psi(Int),0.226851813,0.680555471,0.500000315,0.500000315,0.500000315,0.888885761,0.296315529,0.997810494,0.997810494,0.997810494,0.84009331,0.562499986,0.444444569,0.500000315,0.173612472,0.340293487,0.680555471,0.347246234,0.562499986,0.500000315,0.888885761,0.444444569,0.444444569,0.562499991,0.250004449,0.999283253,0.500000315,0.296315529,0.562499991,0.222222091,0.347246234,0.340293487,0.250004449,0.888885761,0.997090229,0.680555471,0.888885761,0.500000315,0.680555471,0.444444569,0.296315529,0.444444569,0.340293487,0.888885761,0.444444569,0.296315529,0.680555471,0.562499986,0.250004449,0.995790744,0.296315529,0.444444569,0.997090229,0.500000315,0.347224617,0.444444569,0.375001849,0.250004449,0.997090229,0.347246234,0.500000315,0.340293487,0.680555471,0.562499991,0.997810494,0.462960326,0.462960326,0.347246234,0.500000315,0.420136722,0.500000315,0.222222091,0.49999573,0.296315529,0.997810494,0.444444569,0.250004449,0.340293487,0.500000315,0.444444569,0.462960326,0.444444569,0.226851813,0.347246234,0.462960326,0.250004449,0.340293487,0.562499991,0.500000315,0.340293487,0.281249926,0.562499991,0.375001849,0.347246234,0.444444569,0.347224617,0.680555471,0.173612472,0.680555471,0.340293487,10,2
p(Int),0.857142956,0.285714192,0.3333333,0.3333333,0.3333333,0.250001248,0.74996311,0.138997868,0.138997868,0.138997868,0.363717117,0.444444471,0.499999898,0.3333333,0.799994566,0.571441823,0.285714192,0.39997193,0.444444471,0.3333333,0.250001248,0.499999898,0.499999898,0.444444471,0.666664334,0.277955648,0.3333333,0.74996311,0.444444471,0.500002766,0.39997193,0.571441823,0.666664334,0.250001248,0.083678279,0.285714192,0.250001248,0.3333333,0.285714192,0.499999898,0.74996311,0.499999898,0.571441823,0.250001248,0.499999898,0.74996311,0.285714192,0.444444471,0.666664334,0.250829452,0.74996311,0.499999898,0.083678279,0.3333333,0.800001725,0.499999898,0.66664945,0.666664334,0.083678279,0.39997193,0.3333333,0.571441823,0.285714192,0.444444471,0.138997868,0.600001921,0.600001921,0.39997193,0.3333333,0.727273461,0.3333333,0.500002766,0.666668453,0.74996311,0.138997868,0.499999898,0.666664334,0.571441823,0.3333333,0.499999898,0.600001921,0.499999898,0.857142956,0.39997193,0.600001921,0.666664334,0.571441823,0.444444471,0.3333333,0.571441823,0.888888988,0.444444471,0.66664945,0.39997193,0.499999898,0.800001725,0.285714192,0.799994566,0.285714192,0.571441823,10,2
