"","X","siteswithbooms","probdet","samplenum","duration"
"Sampled_24_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,14,0.608695652173913,24,780
"Sampled_24_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,16,0.695652173913043,24,840
"Sampled_24_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,15,0.652173913043478,24,900
"Sampled_24_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,15,0.652173913043478,24,960
"Sampled_24_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,15,0.652173913043478,24,1020
"Sampled_24_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,16,0.695652173913043,24,1080
"Sampled_24_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,13,0.565217391304348,24,1140
"Sampled_24_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,16,0.695652173913043,24,3600
"Sampled_24_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,9,0.391304347826087,24,60
"Sampled_24_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,14,0.608695652173913,24,1200
"Sampled_24_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,14,0.608695652173913,24,120
"Sampled_24_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,15,0.652173913043478,24,180
"Sampled_24_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,15,0.652173913043478,24,240
"Sampled_24_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,14,0.608695652173913,24,300
"Sampled_24_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,14,0.608695652173913,24,360
"Sampled_24_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,15,0.652173913043478,24,420
"Sampled_24_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,16,0.695652173913043,24,480
"Sampled_24_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,15,0.652173913043478,24,540
"Sampled_28_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,15,0.652173913043478,28,600
"Sampled_28_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,15,0.652173913043478,28,660
"Sampled_28_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,15,0.652173913043478,28,720
"Sampled_28_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,15,0.652173913043478,28,780
"Sampled_28_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,17,0.739130434782609,28,840
"Sampled_28_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,17,0.739130434782609,28,900
"Sampled_28_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,15,0.652173913043478,28,960
"Sampled_28_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,16,0.695652173913043,28,1020
"Sampled_28_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,15,0.652173913043478,28,1080
"Sampled_28_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,17,0.739130434782609,28,1140
"Sampled_28_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,16,0.695652173913043,28,3600
