"","sm_id","intervalsP","numdetect"
"139",7524,"2014-06-10 05:22:00 CDT--2014-06-10 05:32:00 CDT",0
"140",7524,"2014-06-10 05:32:00 CDT--2014-06-10 05:42:00 CDT",0
"141",7524,"2014-06-10 05:42:00 CDT--2014-06-10 05:52:00 CDT",0
"142",7524,"2014-06-13 22:16:00 CDT--2014-06-13 22:26:00 CDT",0
"143",7524,"2014-06-13 22:26:00 CDT--2014-06-13 22:36:00 CDT",0
"144",7524,"2014-06-13 22:36:00 CDT--2014-06-13 22:46:00 CDT",0
"145",7524,"2014-06-13 22:46:00 CDT--2014-06-13 22:56:00 CDT",0
"146",7524,"2014-06-13 22:56:00 CDT--2014-06-13 23:06:00 CDT",0
"147",7524,"2014-06-13 23:06:00 CDT--2014-06-13 23:16:00 CDT",0
"148",7524,"2014-06-13 23:16:00 CDT--2014-06-13 23:26:00 CDT",0
"149",7524,"2014-06-13 23:26:00 CDT--2014-06-13 23:36:00 CDT",0
"150",7524,"2014-06-13 23:36:00 CDT--2014-06-13 23:46:00 CDT",0
"151",7524,"2014-06-13 23:46:00 CDT--2014-06-13 23:56:00 CDT",0
"152",7524,"2014-06-13 23:56:00 CDT--2014-06-14 00:06:00 CDT",0
"153",7524,"2014-06-14 00:06:00 CDT--2014-06-14 00:16:00 CDT",0
"154",7524,"2014-06-14 00:16:00 CDT--2014-06-14 00:26:00 CDT",0
"155",7524,"2014-06-14 00:26:00 CDT--2014-06-14 00:36:00 CDT",0
"156",7524,"2014-06-14 00:36:00 CDT--2014-06-14 00:46:00 CDT",0
"157",7524,"2014-06-14 00:46:00 CDT--2014-06-14 00:56:00 CDT",0
"158",7524,"2014-06-14 00:56:00 CDT--2014-06-14 01:06:00 CDT",0
"159",7524,"2014-06-14 01:06:00 CDT--2014-06-14 01:16:00 CDT",0
"160",7524,"2014-06-14 01:16:00 CDT--2014-06-14 01:26:00 CDT",0
"161",7524,"2014-06-14 01:26:00 CDT--2014-06-14 01:36:00 CDT",0
"162",7524,"2014-06-14 01:36:00 CDT--2014-06-14 01:46:00 CDT",0
"163",7524,"2014-06-14 01:46:00 CDT--2014-06-14 01:56:00 CDT",0
"164",7524,"2014-06-14 01:56:00 CDT--2014-06-14 02:06:00 CDT",0
"165",7524,"2014-06-14 02:06:00 CDT--2014-06-14 02:16:00 CDT",0
"166",7524,"2014-06-14 02:16:00 CDT--2014-06-14 02:26:00 CDT",0
"167",7524,"2014-06-14 02:26:00 CDT--2014-06-14 02:36:00 CDT",0
"168",7524,"2014-06-14 02:36:00 CDT--2014-06-14 02:46:00 CDT",0
"169",7524,"2014-06-14 02:46:00 CDT--2014-06-14 02:56:00 CDT",0
"170",7524,"2014-06-14 02:56:00 CDT--2014-06-14 03:06:00 CDT",0
"171",7524,"2014-06-14 03:06:00 CDT--2014-06-14 03:16:00 CDT",0
