"","sm_id","location","year","month","day","PreSS","ms0","SS","c1","n1","a1","nightcalc","a2","n2","c2","endCivil2SRstart","ms8","EndSRdaystart","SStoSRend","date","startime","starttime.posix","endtime.posix","fullrec.interval","fullrec.duration","fullrec.seconds","sample_id","duration_new","start_time_new","end_time_new","segment_id"
"24",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",3600,2014-06-14 00:46:00,2014-06-14 01:46:00,3
"25",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",3600,2014-06-14 01:46:00,2014-06-14 02:46:00,4
"26",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",3600,2014-06-14 02:46:00,2014-06-14 03:46:00,5
"27",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",3600,2014-06-14 03:46:00,2014-06-14 04:46:00,6
"28",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",540,2014-06-14 04:46:00,2014-06-14 04:55:00,7
"29",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",3600,2014-06-17 22:49:00,2014-06-17 23:49:00,1
"30",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",3600,2014-06-17 23:49:00,2014-06-18 00:49:00,2
"31",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",3600,2014-06-18 00:49:00,2014-06-18 01:49:00,3
"32",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",3600,2014-06-18 01:49:00,2014-06-18 02:49:00,4
"33",13585,"Behchoko",2014,"06","17","22:49:00",3600,"23:49:00",7020,0,0,0,0,0,7020,"3:43:00",600,"3:53:00",14640,2014-06-17,"2014-06-17 22:49:00",2014-06-17 22:49:00,2014-06-18 04:53:00,2014-06-17 22:49:00 CDT--2014-06-18 04:53:00 CDT,21840s (~6.07 hours),21840,"13585 2014-06-17",3600,2014-06-18 02:49:00,2014-06-18 03:49:00,5
