X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.736995509,0.790362691,0.684251919,0.73695497,0.736960684,0.736947773,0.736976972,0.789735133,0.737581735,0.789735133,0.789767078,0.790571235,0.79046181,0.736976972,0.79046181,0.737093097,0.737204284,0.737093097,0.736976972,0.736900161,0.736953378,0.737363714,0.736974881,0.73714329,0.736960684,0.631937276,0.736976972,0.737093097,0.789850028,0.789735133,0.684422784,0.737020337,0.736947597,0.737020337,0.73714329,0.737363714,0.737052499,0.736963757,0.736995509,0.737581735,0.789708475,0.73714329,0.789735133,0.789667826,0.736953378,0.737277331,0.737277331,0.737581735,0.737052499,0.789686306,0.737093097,0.789652248,0.790571235,0.736976972,0.736976972,0.737464742,0.73695497,0.737093097,0.737093097,0.737277331,0.736963757,0.73695497,0.789735133,0.790362691,0.736949812,0.790362691,0.737277331,0.737363714,0.737052499,0.736953378,0.789735133,0.789767078,0.73695497,0.73714329,0.737093097,0.736963757,0.736974881,0.737464742,0.68439513,0.736947773,0.79046181,0.684324313,0.73807635,0.736995509,0.736949953,0.736995509,0.73695497,0.736976972,0.736908044,0.736947597,0.78990265,0.73714329,0.631937276,0.737020337,0.737052499,0.737363714,0.736976972,0.736949812,0.737093097,0.789586261,10,15
p(Int),0.40461101,0.364035341,0.476894428,0.418935383,0.44755834,0.43324974,0.409387007,0.386350577,0.36157249,0.386350577,0.381876851,0.355062629,0.359550732,0.409387007,0.359550732,0.390275629,0.380712702,0.390275629,0.409387007,0.466631139,0.44278854,0.371145107,0.48093885,0.385494751,0.44755834,0.39423787,0.409387007,0.390275629,0.372922778,0.386350577,0.410112948,0.399833779,0.428479271,0.399833779,0.385494751,0.371145107,0.395055314,0.414161786,0.40461101,0.36157249,0.390822376,0.385494751,0.386350577,0.399760858,0.44278854,0.375929493,0.375929493,0.36157249,0.395055314,0.395292424,0.390275629,0.404227772,0.355062629,0.409387007,0.409387007,0.366359482,0.418935383,0.390275629,0.390275629,0.375929493,0.414161786,0.418935383,0.386350577,0.364035341,0.423707853,0.364035341,0.375929493,0.371145107,0.395055314,0.44278854,0.386350577,0.381876851,0.418935383,0.385494751,0.390275629,0.414161786,0.48093885,0.366359482,0.415256514,0.43324974,0.359550732,0.435817193,0.347037695,0.40461101,0.43801942,0.40461101,0.418935383,0.409387007,0.461862479,0.428479271,0.368441956,0.385494751,0.39423787,0.399833779,0.395055314,0.371145107,0.409387007,0.423707853,0.390275629,0.42657687,10,15
psi(Int),0.736898005,0.737049472,0.736992799,0.736934678,0.736920936,0.736876416,0.736885868,0.737223752,0.790691376,0.736934678,0.78953215,0.789612296,0.736951005,0.736951005,0.78957957,0.736888068,0.684289186,0.790369954,0.737124888,0.736934678,0.789839388,0.736885868,0.736992799,0.737049472,0.789612296,0.789560608,0.736992799,0.736909468,0.736934678,0.737084564,0.736909468,0.684260732,0.736920936,0.737019052,0.737124888,0.736992799,0.736970254,0.684328502,0.789737401,0.789737401,0.737019052,0.736970254,0.789533278,0.789568658,0.789635251,0.736920936,0.736920936,0.736920936,0.736909468,0.737084564,0.789532841,0.736909468,0.789568658,0.736934678,0.736885868,0.736885868,0.736934678,0.736920936,0.737019052,0.736892208,0.737124888,0.789612296,0.736880694,0.789663362,0.684241912,0.789568658,0.78957957,0.684695998,0.736920936,0.736934678,0.736934678,0.736876416,0.789532841,0.684745711,0.789533278,0.789697211,0.736892208,0.736885868,0.789525603,0.736970254,0.737171059,0.790466944,0.736899984,0.736905685,0.737723386,0.736951005,0.789593925,0.789697211,0.684267079,0.736914298,0.737124888,0.789737401,0.736892208,0.789535403,0.736909468,0.789784568,0.78957957,0.789697211,0.736892208,0.736892208,10,16
p(Int),0.459801519,0.379260808,0.388226077,0.40166246,0.406138693,0.432976882,0.424033822,0.361306495,0.332820888,0.40166246,0.416603331,0.374724232,0.397185027,0.397185027,0.38310012,0.446394529,0.418204933,0.345442213,0.370288056,0.40166246,0.34955536,0.424033822,0.388226077,0.379260808,0.374724232,0.391471359,0.388226077,0.410613841,0.40166246,0.374775446,0.410613841,0.432645895,0.406138693,0.383744302,0.370288056,0.388226077,0.392706274,0.40857529,0.357953386,0.357953386,0.383744302,0.392706274,0.404082352,0.387286258,0.370534174,0.406138693,0.406138693,0.406138693,0.410613841,0.374775446,0.412430399,0.410613841,0.387286258,0.40166246,0.424033822,0.424033822,0.40166246,0.406138693,0.383744302,0.419561305,0.370288056,0.374724232,0.428505652,0.366342474,0.466325614,0.387286258,0.38310012,0.374878177,0.406138693,0.40166246,0.40166246,0.432976882,0.412430399,0.36029327,0.404082352,0.362148944,0.419561305,0.424033822,0.429119212,0.392706274,0.365798467,0.341238338,0.415088011,0.450862305,0.334292519,0.397185027,0.378912826,0.362148944,0.427832788,0.455331327,0.370288056,0.357953386,0.419561305,0.395730527,0.410613841,0.353755596,0.38310012,0.362148944,0.419561305,0.419561305,10,16
psi(Int),0.561951504,0.6488857,0.606977001,0.561951504,0.458831467,0.606976998,0.6488857,0.512989165,0.512989168,0.561951504,0.561951504,0.6488857,0.458831467,0.688247223,0.397359714,0.648885697,0.512989168,0.512989168,0.324442815,0.458831467,0.606976998,0.561951504,0.561951504,0.458831467,0.6488857,0.512989169,0.606977001,0.688247223,0.6488857,0.512989165,0.6488857,0.512989168,0.512989168,0.458831467,0.561951504,0.397359708,0.606976998,0.561951505,0.725476271,0.458831467,0.512989168,0.324442815,0.512989169,0.512989169,0.561951504,0.606976998,0.606976998,0.561951504,0.606976998,0.512989169,0.512989169,0.561951504,0.512989165,0.458831467,0.324442815,0.458831467,0.561951504,0.648885697,0.561951505,0.512989169,0.512989165,0.458831467,0.561951504,0.458831467,0.561951504,0.606976998,0.6488857,0.606976998,0.561951504,0.512989168,0.512989168,0.6488857,0.561951504,0.606976998,0.512989165,0.561951504,0.725476271,0.606976998,0.458831467,0.458831467,0.512989168,0.606976998,0.648885697,0.397359708,0.561951504,0.688247224,0.512989169,0.561951504,0.458831467,0.561951504,0.6488857,0.561951504,0.6488857,0.512989168,0.648885697,0.397359708,0.561951505,0.606976998,0.606976998,0.458831467,10,1
p(Int),0.561951504,0.6488857,0.606977001,0.561951504,0.458831467,0.606976998,0.6488857,0.512989165,0.512989168,0.561951504,0.561951504,0.6488857,0.458831467,0.688247223,0.397359714,0.648885697,0.512989168,0.512989168,0.324442815,0.458831467,0.606976998,0.561951504,0.561951504,0.458831467,0.6488857,0.512989169,0.606977001,0.688247223,0.6488857,0.512989165,0.6488857,0.512989168,0.512989168,0.458831467,0.561951504,0.397359708,0.606976998,0.561951505,0.725476271,0.458831467,0.512989168,0.324442815,0.512989169,0.512989169,0.561951504,0.606976998,0.606976998,0.561951504,0.606976998,0.512989169,0.512989169,0.561951504,0.512989165,0.458831467,0.324442815,0.458831467,0.561951504,0.648885697,0.561951505,0.512989169,0.512989165,0.458831467,0.561951504,0.458831467,0.561951504,0.606976998,0.6488857,0.606976998,0.561951504,0.512989168,0.512989168,0.6488857,0.561951504,0.606976998,0.512989165,0.561951504,0.725476271,0.606976998,0.458831467,0.458831467,0.512989168,0.606976998,0.648885697,0.397359708,0.561951504,0.688247224,0.512989169,0.561951504,0.458831467,0.561951504,0.6488857,0.561951504,0.6488857,0.512989168,0.648885697,0.397359708,0.561951505,0.606976998,0.606976998,0.458831467,10,1
psi(Int),0.73680139,0.736806061,0.789442291,0.73680139,0.736796792,0.736819483,0.789442291,0.736806061,0.736787246,0.736792349,0.736786233,0.736780635,0.736832562,0.789460578,0.736786233,0.736815219,0.736809901,0.684207622,0.789430041,0.736806061,0.736784211,0.736826804,0.7893824,0.789436462,0.736787246,0.736785447,0.789460578,0.736829664,0.736819483,0.789415978,0.736796792,0.736819483,0.736788134,0.736789463,0.736789463,0.736810707,0.73683189,0.789442291,0.736819483,0.789436462,0.736788134,0.789430041,0.736810707,0.736788134,0.736819483,0.789447432,0.736789517,0.736787246,0.736806061,0.736796792,0.736785873,0.736785302,0.789398938,0.736819483,0.736784211,0.789467171,0.789436462,0.789388104,0.73683189,0.736792349,0.789436462,0.789371762,0.73680139,0.736796792,0.736797191,0.789394529,0.736787592,0.736784211,0.736787592,0.789394529,0.736785302,0.736785447,0.736787592,0.789442291,0.789436462,0.736815219,0.789408678,0.736785447,0.736826804,0.736815219,0.736787246,0.684203542,0.736852927,0.736784211,0.736789463,0.736792792,0.736789517,0.789377633,0.736787246,0.789455465,0.789388104,0.736789463,0.736785447,0.736796792,0.736792349,0.736785447,0.736792792,0.736785447,0.736780635,0.736829664,10,20
p(Int),0.414280315,0.41785249,0.386651971,0.414280315,0.410708012,0.42856836,0.386651971,0.41785249,0.371371326,0.407135571,0.385671502,0.396417328,0.457143275,0.403322815,0.385671502,0.424996501,0.353487313,0.392284297,0.379982838,0.41785249,0.399990241,0.435711863,0.356632216,0.383317493,0.371371326,0.382096914,0.403322815,0.439283543,0.42856836,0.37331285,0.410708012,0.42856836,0.403562985,0.392819943,0.392819943,0.421424549,0.4428552,0.386651971,0.42856836,0.383317493,0.403562985,0.379982838,0.421424549,0.403562985,0.42856836,0.389986307,0.367795418,0.371371326,0.41785249,0.410708012,0.374946857,0.378522043,0.326574135,0.42856836,0.399990241,0.416654089,0.383317493,0.359969134,0.4428552,0.407135571,0.383317493,0.34661851,0.414280315,0.410708012,0.360642335,0.363305621,0.389245835,0.399990241,0.389245835,0.363305621,0.378522043,0.382096914,0.389245835,0.386651971,0.383317493,0.424996501,0.369977443,0.382096914,0.435711863,0.424996501,0.371371326,0.446151527,0.467857395,0.399990241,0.392819943,0.3642191,0.367795418,0.353294831,0.371371326,0.396654677,0.359969134,0.392819943,0.382096914,0.410708012,0.407135571,0.382096914,0.3642191,0.382096914,0.396417328,0.439283543,10,20
psi(Int),0.999295638,0.530701818,0.644738193,0.842105403,0.859622999,0.945281181,0.741228113,0.355267687,0.530701818,0.644738193,0.530701818,0.859622999,0.532895633,0.741228113,0.633771924,0.631582286,0.999649288,0.43859871,0.945281181,0.379021509,0.657894733,0.64473035,0.984258098,0.999117,0.530701815,0.530701818,0.741228113,0.999770372,0.999295638,0.99384704,0.322362878,0.99384704,0.631582286,0.945281181,0.43859871,0.644738193,0.796041305,0.555920445,0.280701717,0.740131652,0.741228113,0.355267687,0.43859871,0.999770372,0.532895633,0.741228113,0.644738193,0.999649288,0.592104806,0.999649288,0.532895633,0.657894733,0.592104806,0.631582286,0.657894733,0.999456955,0.657894722,0.657894733,0.657894733,0.532895633,0.631582286,0.644738193,0.532895633,0.999770372,0.473317764,0.633771925,0.64473035,0.945281181,0.999117,0.657894733,0.493454586,0.473672869,0.421052881,0.355267687,0.515820431,0.740131652,0.740131652,0.999770372,0.355267687,0.840699713,0.796041305,0.644738193,0.532895633,0.859622999,0.631582286,0.631582286,0.984258098,0.644738193,0.859622999,0.999117,0.266447355,0.999117,0.840699713,0.999117,0.631582286,0.859622999,0.984258099,0.741228113,0.859622999,0.555920445,10,2
p(Int),0.184198132,0.545454457,0.571429311,0.499999904,0.428584741,0.334046687,0.461538486,0.666666827,0.545454457,0.571429311,0.545454457,0.428584741,0.444443385,0.461538486,0.705882317,0.499997716,0.289568333,0.600001841,0.334046687,0.83329054,0.39999999,0.285717084,0.401039544,0.26337555,0.545454456,0.545454457,0.461538486,0.315860747,0.184198132,0.238130216,0.571438045,0.238130216,0.499997716,0.334046687,0.600001841,0.571429311,0.363641603,0.615384594,0.750000157,0.533333328,0.461538486,0.666666827,0.600001841,0.315860747,0.444443385,0.461538486,0.571429311,0.289568333,0.666665956,0.289568333,0.444443385,0.39999999,0.666665957,0.499997716,0.39999999,0.342287095,0.399999987,0.39999999,0.39999999,0.444443385,0.499997716,0.571429311,0.444443385,0.315860747,0.333584951,0.705882317,0.285717084,0.334046687,0.26337555,0.39999999,0.800036815,0.666672776,0.499999572,0.666666827,0.714225824,0.533333328,0.533333328,0.315860747,0.666666827,0.250404358,0.363641603,0.571429311,0.444443385,0.428584741,0.499997716,0.499997716,0.401039544,0.571429311,0.428584741,0.26337555,0.888888895,0.26337555,0.250404358,0.26337555,0.499997716,0.428584741,0.401039543,0.461538486,0.428584741,0.615384594,10,2
